"split","image","label","source_split"
"train","20402591-0fb0-4e1d-893e-ec60a9906ce5_jpg.rf.fdfe4cc84174b8de48bfadab86ec2be8.jpg","20402591-0fb0-4e1d-893e-ec60a9906ce5_jpg.rf.fdfe4cc84174b8de48bfadab86ec2be8.txt","train"
"train","00014_00007_00017_png.rf.96f1d9056089a1f745636a9fd00c6170.jpg","00014_00007_00017_png.rf.96f1d9056089a1f745636a9fd00c6170.txt","train"
"train","00003_00031_00013_png.rf.cd310df87c37a2d9653c64b24b83ca87.jpg","00003_00031_00013_png.rf.cd310df87c37a2d9653c64b24b83ca87.txt","valid"
"train","road301_png.rf.579f4b9c505bcccd0ebe65d919d0245d.jpg","road301_png.rf.579f4b9c505bcccd0ebe65d919d0245d.txt","train"
"train","FisheyeCamera_1_00028_png.rf.26815374d6571ec191e7222dbfc2ac11.jpg","FisheyeCamera_1_00028_png.rf.26815374d6571ec191e7222dbfc2ac11.txt","train"
"train","000755_jpg.rf.224953ba7f71443e88f2db7484eec416.jpg","000755_jpg.rf.224953ba7f71443e88f2db7484eec416.txt","train"
"train","00004_00040_00009_png.rf.3694a41dabe1d839f19f8ceed8f507e0.jpg","00004_00040_00009_png.rf.3694a41dabe1d839f19f8ceed8f507e0.txt","train"
"train","000718_jpg.rf.440f426ce161faf7eaeda6ab6d4c88d3.jpg","000718_jpg.rf.440f426ce161faf7eaeda6ab6d4c88d3.txt","train"
"train","00004_00043_00017_png.rf.87e4c94f8ee8af0d17a57eff49106b9d.jpg","00004_00043_00017_png.rf.87e4c94f8ee8af0d17a57eff49106b9d.txt","valid"
"train","000865_JPG_jpg.rf.4a720882e1f213b4d65c3badfd52186f.jpg","000865_JPG_jpg.rf.4a720882e1f213b4d65c3badfd52186f.txt","train"
"train","00002_00062_00026_png.rf.167e808c811699edf73f131b8b3f7e0c.jpg","00002_00062_00026_png.rf.167e808c811699edf73f131b8b3f7e0c.txt","train"
