                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62253,                0.88819,                0.94685,                0.93045,                0.73819,                0.85158,                0.74039,                 0.6224,                0.48418,                0.84918,             0.00017453,             0.00017453,             0.00017453
                      2,                0.60317,                0.75756,                0.93258,                0.95067,                0.73548,                 0.8345,                0.72013,                0.64923,                0.53066,                0.85898,             0.00034294,             0.00034294,             0.00034294
                      3,                0.61706,                0.79203,                0.93324,                0.94091,                0.72467,                0.85054,                0.72255,                0.66003,                0.56765,                0.86702,              0.0005044,              0.0005044,              0.0005044
                      4,                0.62469,                0.82979,                0.93945,                0.95581,                0.72447,                0.83505,                0.71887,                0.64006,                0.53561,                0.86034,             0.00049476,             0.00049476,             0.00049476
                      5,                0.62299,                0.79629,                0.94104,                0.95168,                0.72814,                0.83734,                0.71763,                0.65957,                0.54177,                0.86866,             0.00048434,             0.00048434,             0.00048434
                      6,                0.61028,                0.76229,                 0.9384,                 0.9399,                0.71478,                0.82098,                0.70038,                 0.6495,                0.56131,                0.86123,             0.00047393,             0.00047393,             0.00047393
                      7,                0.60324,                0.77987,                0.93447,                0.94558,                0.71772,                0.82492,                0.70543,                0.66177,                0.53044,                0.85822,             0.00046351,             0.00046351,             0.00046351
                      8,                0.60883,                0.74445,                0.93634,                0.93256,                0.73918,                0.84364,                0.72031,                0.66863,                0.51805,                0.87216,              0.0004531,              0.0004531,              0.0004531
                      9,                0.59934,                0.73664,                0.93491,                0.91186,                0.73039,                0.83317,                0.70919,                0.66665,                 0.5344,                0.86409,             0.00044268,             0.00044268,             0.00044268
                     10,                0.60061,                0.73532,                0.93465,                0.93409,                0.71116,                0.82639,                0.71537,                0.64721,                0.51833,                0.86606,             0.00043227,             0.00043227,             0.00043227
                     11,                0.59927,                0.72409,                0.93248,                0.95393,                  0.735,                0.84288,                0.72454,                0.64769,                0.51851,                0.86158,             0.00042185,             0.00042185,             0.00042185
                     12,                0.58549,                0.70213,                0.92987,                0.94576,                0.74646,                0.84065,                0.71831,                 0.6366,                0.50268,                0.85469,             0.00041144,             0.00041144,             0.00041144
                     13,                0.59206,                0.70315,                0.92777,                0.94966,                0.73409,                0.83994,                0.71841,                0.64135,                0.50847,                0.85406,             0.00040102,             0.00040102,             0.00040102
                     14,                0.58342,                0.69573,                0.92819,                0.95533,                0.74083,                0.86404,                 0.7419,                0.62928,                0.48298,                0.86043,             0.00039061,             0.00039061,             0.00039061
                     15,                0.57709,                0.67238,                0.92697,                0.95667,                0.74474,                0.85634,                0.72207,                0.65742,                0.47935,                0.86018,             0.00038019,             0.00038019,             0.00038019
                     16,                0.58565,                0.68879,                0.92662,                0.95418,                0.73525,                0.84518,                0.71791,                0.63904,                0.49707,                 0.8561,             0.00036978,             0.00036978,             0.00036978
                     17,                0.57272,                0.66332,                0.92293,                0.93957,                0.73432,                0.84862,                0.73522,                 0.6236,                0.48343,                0.85228,             0.00035936,             0.00035936,             0.00035936
                     18,                 0.5761,                0.66282,                0.92411,                 0.9394,                0.74683,                0.86578,                0.74076,                0.62504,                 0.4707,                0.85504,             0.00034895,             0.00034895,             0.00034895
                     19,                0.56575,                0.64819,                0.92418,                0.93435,                0.74121,                0.83614,                0.71843,                0.63245,                0.48592,                0.85643,             0.00033853,             0.00033853,             0.00033853
                     20,                0.56232,                0.63729,                0.91784,                0.94986,                0.75042,                 0.8527,                0.73481,                0.63427,                0.46999,                0.85476,             0.00032812,             0.00032812,             0.00032812
                     21,                0.56672,                0.65074,                0.92509,                0.91649,                0.76242,                 0.8497,                0.72784,                0.64425,                0.46779,                0.85913,              0.0003177,              0.0003177,              0.0003177
                     22,                0.55624,                 0.6307,                 0.9209,                0.93978,                0.74654,                0.84826,                0.73235,                0.63075,                0.47818,                0.85987,             0.00030729,             0.00030729,             0.00030729
                     23,                0.55244,                0.62588,                0.92252,                0.94553,                0.74983,                0.84336,                0.72787,                0.61995,                0.45476,                0.85497,             0.00029687,             0.00029687,             0.00029687
                     24,                0.55266,                0.60265,                0.91695,                0.94188,                0.76851,                 0.8501,                0.73534,                0.62014,                0.44983,                0.85336,             0.00028646,             0.00028646,             0.00028646
                     25,                 0.5491,                0.61295,                0.91837,                0.91336,                0.76818,                0.84985,                0.73459,                0.60446,                0.44782,                 0.8504,             0.00027604,             0.00027604,             0.00027604
                     26,                0.54286,                0.60623,                 0.9143,                0.92349,                 0.7757,                0.84489,                0.72759,                0.61478,                0.44204,                0.84986,             0.00026563,             0.00026563,             0.00026563
                     27,                0.54754,                0.60642,                 0.9145,                 0.9358,                0.74855,                0.83793,                 0.7277,                 0.6203,                0.46235,                0.85252,             0.00025522,             0.00025522,             0.00025522
                     28,                0.53207,                0.59687,                0.91028,                0.97285,                0.75195,                0.86763,                 0.7528,                0.61919,                0.43476,                 0.8536,              0.0002448,              0.0002448,              0.0002448
                     29,                0.53853,                 0.5758,                0.91572,                0.83714,                 0.8357,                0.88429,                0.76838,                0.61707,                0.43589,                0.85111,             0.00023439,             0.00023439,             0.00023439
                     30,                 0.5322,                0.56085,                0.90902,                0.96477,                0.75742,                0.87914,                0.76439,                0.60824,                 0.4189,                0.85264,             0.00022397,             0.00022397,             0.00022397
                     31,                0.52557,                0.56027,                0.90495,                0.93463,                0.76787,                0.87226,                0.75537,                0.60802,                0.41894,                0.84938,             0.00021356,             0.00021356,             0.00021356
                     32,                0.52488,                0.55886,                 0.9091,                0.94442,                0.78477,                0.87401,                0.75901,                0.60268,                 0.4166,                0.85074,             0.00020314,             0.00020314,             0.00020314
                     33,                0.52961,                0.54994,                0.90585,                  0.949,                0.77717,                0.87076,                0.75433,                0.60608,                0.41441,                0.84953,             0.00019273,             0.00019273,             0.00019273
                     34,                0.52509,                0.55449,                0.91035,                0.95142,                0.78477,                0.87745,                0.76085,                0.60155,                 0.4063,                0.84819,             0.00018231,             0.00018231,             0.00018231
                     35,                0.51486,                 0.5397,                0.90788,                0.95046,                0.77437,                0.87976,                0.75856,                 0.6089,                0.41502,                0.85191,              0.0001719,              0.0001719,              0.0001719
                     36,                0.52635,                0.54163,                0.91102,                0.90837,                0.80338,                0.87998,                0.75877,                0.60913,                0.41549,                 0.8491,             0.00016148,             0.00016148,             0.00016148
                     37,                 0.5104,                0.52186,                0.90572,                0.93613,                0.78284,                0.88194,                0.76344,                0.59088,                0.41037,                0.84631,             0.00015107,             0.00015107,             0.00015107
                     38,                0.50587,                0.52321,                0.90626,                0.86855,                0.82562,                0.88662,                0.76824,                0.58532,                0.40383,                0.84554,             0.00014065,             0.00014065,             0.00014065
                     39,                0.50488,                0.50961,                0.90193,                0.93393,                0.78679,                0.88005,                 0.7668,                0.58345,                0.40513,                0.84342,             0.00013024,             0.00013024,             0.00013024
                     40,                0.50517,                0.51593,                0.90287,                0.94812,                0.78045,                0.88717,                0.76765,                0.59349,                 0.3993,                0.84941,             0.00011982,             0.00011982,             0.00011982
                     41,                0.48492,                0.31455,                0.84918,                0.95939,                0.75639,                0.86406,                0.74526,                0.59739,                0.41847,                0.84767,             0.00010941,             0.00010941,             0.00010941
                     42,                 0.4834,                0.31208,                0.85349,                0.81644,                0.86622,                0.88264,                0.75818,                0.59564,                0.40017,                0.84796,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                 0.4724,                0.30595,                0.84803,                0.84991,                0.84317,                0.88618,                 0.7651,                0.59971,                0.40249,                0.84929,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.47018,                0.29889,                0.85154,                0.87134,                0.81471,                0.88734,                 0.7616,                0.61429,                0.39063,                0.85091,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                 0.4625,                0.29784,                 0.8515,                0.85586,                0.85847,                0.89276,                0.77238,                0.59082,                0.38488,                0.84507,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.45837,                0.29355,                0.84549,                0.89691,                0.82586,                0.89465,                0.77678,                0.59503,                0.37766,                0.84795,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.45928,                 0.2936,                 0.8467,                0.87579,                0.81526,                0.88874,                0.77034,                0.58847,                0.37374,                0.84405,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                 0.4563,                0.28269,                0.84711,                0.88539,                0.84175,                0.90014,                0.78115,                0.58298,                0.37345,                0.84465,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.45536,                0.28229,                0.84428,                0.89434,                0.81673,                0.89157,                0.77681,                0.58589,                0.37259,                0.84548,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.44726,                0.27666,                  0.846,                0.84851,                 0.8503,                0.89297,                0.77765,                0.58202,                0.37173,                 0.8456,             1.5675e-05,             1.5675e-05,             1.5675e-05
