                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60254,                0.74185,                0.99614,                0.96507,                0.78347,                0.88898,                0.76158,                0.58679,                0.43672,                0.93977,              0.0001745,              0.0001745,              0.0001745
                      2,                0.59946,                 0.7427,                0.99518,                0.94107,                0.75785,                0.86215,                0.73442,                0.61665,                0.51211,                0.95136,             0.00034291,             0.00034291,             0.00034291
                      3,                 0.6288,                0.75488,                  1.008,                0.91329,                0.74393,                0.85548,                0.71751,                0.65894,                0.58645,                0.99722,             0.00050437,             0.00050437,             0.00050437
                      4,                0.62335,                0.75893,                 1.0081,                0.93637,                0.77144,                0.85619,                0.72366,                0.64508,                 0.5229,                0.97373,             0.00049476,             0.00049476,             0.00049476
                      5,                0.62293,                0.76036,                 1.0044,                0.94313,                0.75446,                0.86131,                0.73084,                0.63511,                0.52109,                0.96703,             0.00048434,             0.00048434,             0.00048434
                      6,                0.62498,                0.73751,                 1.0036,                0.93286,                0.76111,                0.85725,                0.72079,                0.64965,                0.52106,                0.98067,             0.00047393,             0.00047393,             0.00047393
                      7,                0.62293,                0.73816,                 1.0081,                  0.937,                0.79278,                0.87557,                0.74714,                0.60854,                0.46951,                0.95263,             0.00046351,             0.00046351,             0.00046351
                      8,                0.60409,                0.72415,                0.99851,                0.94627,                0.76522,                0.86623,                0.73702,                0.64941,                0.52576,                 0.9761,              0.0004531,              0.0004531,              0.0004531
                      9,                0.60799,                0.72423,                0.99665,                0.92012,                0.77886,                0.86594,                0.73574,                0.64966,                0.54262,                0.97083,             0.00044268,             0.00044268,             0.00044268
                     10,                0.61371,                0.68889,                 1.0015,                0.95068,                0.76665,                0.87377,                 0.7443,                 0.6402,                0.52356,                0.97158,             0.00043227,             0.00043227,             0.00043227
                     11,                0.60701,                0.68866,                0.99349,                0.91253,                0.79511,                 0.8866,                0.74695,                 0.6481,                0.49642,                 0.9616,             0.00042185,             0.00042185,             0.00042185
                     12,                0.61195,                0.70046,                0.99886,                0.93013,                 0.7737,                0.87681,                 0.7484,                0.62491,                0.48918,                 0.9513,             0.00041144,             0.00041144,             0.00041144
                     13,                0.59999,                0.68176,                0.98951,                0.83153,                0.83502,                0.88023,                 0.7509,                0.64895,                0.48712,                0.95922,             0.00040102,             0.00040102,             0.00040102
                     14,                0.59432,                0.66171,                0.98456,                0.92821,                 0.7879,                0.86904,                0.74363,                0.62783,                 0.4946,                0.95384,             0.00039061,             0.00039061,             0.00039061
                     15,                 0.5908,                0.66784,                0.98451,                0.87288,                0.81333,                 0.8771,                0.75627,                0.61823,                0.46413,                0.94754,             0.00038019,             0.00038019,             0.00038019
                     16,                0.59536,                0.66513,                0.98924,                0.95241,                0.79071,                0.87938,                0.75189,                0.62239,                0.46075,                0.94551,             0.00036978,             0.00036978,             0.00036978
                     17,                0.58542,                0.65545,                0.97781,                0.92739,                0.80462,                0.89252,                 0.7615,                 0.6142,                0.46795,                0.94082,             0.00035936,             0.00035936,             0.00035936
                     18,                0.58135,                0.63707,                0.98257,                0.91093,                0.80839,                 0.8869,                0.74963,                 0.6325,                0.46245,                0.95173,             0.00034895,             0.00034895,             0.00034895
                     19,                0.57924,                0.62028,                0.97565,                0.93707,                0.78967,                0.88766,                0.75485,                0.61842,                0.45386,                0.94529,             0.00033853,             0.00033853,             0.00033853
                     20,                0.57833,                0.62575,                0.97806,                0.84431,                0.84588,                0.88846,                0.74675,                0.69163,                0.47806,                0.99251,             0.00032812,             0.00032812,             0.00032812
                     21,                0.57852,                0.61918,                0.97786,                0.82978,                0.86701,                0.88431,                0.75774,                0.61822,                0.44345,                0.93966,              0.0003177,              0.0003177,              0.0003177
                     22,                0.57194,                0.60341,                0.97491,                0.96178,                0.76826,                0.87753,                0.75275,                0.61826,                0.45253,                 0.9433,             0.00030729,             0.00030729,             0.00030729
                     23,                0.57262,                0.59726,                0.97552,                0.95235,                0.80127,                0.89895,                 0.7624,                0.61065,                0.41721,                0.93355,             0.00029687,             0.00029687,             0.00029687
                     24,                0.56381,                0.59034,                 0.9704,                0.95433,                0.77247,                0.88512,                0.76135,                0.61302,                0.45735,                0.94247,             0.00028646,             0.00028646,             0.00028646
                     25,                0.56226,                0.59604,                 0.9709,                0.93437,                 0.8158,                0.91123,                0.77734,                 0.6048,                0.42977,                0.93815,             0.00027604,             0.00027604,             0.00027604
                     26,                0.55734,                 0.5785,                0.97433,                0.95545,                0.80072,                0.90734,                0.77673,                0.61158,                0.43032,                0.93847,             0.00026563,             0.00026563,             0.00026563
                     27,                0.55771,                0.56958,                0.96482,                0.91539,                0.82361,                0.89165,                  0.759,                0.61503,                0.41985,                0.94321,             0.00025522,             0.00025522,             0.00025522
                     28,                0.55688,                0.55983,                0.97207,                0.93754,                0.80061,                0.88449,                0.75732,                0.60413,                0.43368,                0.93388,              0.0002448,              0.0002448,              0.0002448
                     29,                0.54284,                0.55053,                 0.9652,                0.87929,                0.81642,                0.88548,                0.76117,                0.61449,                0.41757,                0.93524,             0.00023439,             0.00023439,             0.00023439
                     30,                0.54836,                 0.5548,                0.96207,                0.95339,                0.80518,                0.89286,                0.76579,                0.61063,                0.41931,                0.94471,             0.00022397,             0.00022397,             0.00022397
                     31,                 0.5393,                0.55764,                0.96213,                0.93841,                0.83019,                0.89956,                0.77226,                0.60667,                0.40415,                0.93091,             0.00021356,             0.00021356,             0.00021356
                     32,                0.54832,                0.54809,                0.96426,                0.93042,                0.80408,                0.90004,                0.77417,                0.60031,                0.40572,                0.92706,             0.00020314,             0.00020314,             0.00020314
                     33,                0.54319,                0.54834,                0.96271,                0.82289,                0.87757,                0.89938,                0.77119,                 0.6019,                0.40834,                0.92759,             0.00019273,             0.00019273,             0.00019273
                     34,                0.53032,                0.53584,                0.95535,                0.92643,                0.82097,                0.89797,                0.76493,                0.60541,                0.41505,                0.93235,             0.00018231,             0.00018231,             0.00018231
                     35,                0.53887,                0.52657,                0.95642,                0.82723,                  0.884,                0.89552,                0.77007,                0.59384,                0.40315,                0.92858,              0.0001719,              0.0001719,              0.0001719
                     36,                0.52752,                0.51456,                0.96222,                0.88429,                0.86385,                0.90744,                0.77781,                0.59804,                0.40432,                0.92616,             0.00016148,             0.00016148,             0.00016148
                     37,                0.52279,                0.50091,                0.95135,                0.95177,                 0.8134,                0.89751,                0.77761,                0.59687,                0.39766,                 0.9242,             0.00015107,             0.00015107,             0.00015107
                     38,                0.52563,                0.50944,                0.95143,                0.82075,                0.87959,                 0.9182,                0.79074,                0.59612,                0.39532,                0.92638,             0.00014065,             0.00014065,             0.00014065
                     39,                 0.5239,                0.50989,                0.94942,                0.88792,                0.85479,                0.90362,                0.78257,                 0.5836,                0.39191,                 0.9245,             0.00013024,             0.00013024,             0.00013024
                     40,                0.51336,                0.48986,                0.94976,                0.82528,                0.87804,                  0.901,                0.77933,                0.58485,                0.38268,                0.91931,             0.00011982,             0.00011982,             0.00011982
                     41,                0.49944,                0.32606,                0.91794,                0.81022,                0.89555,                0.90463,                0.77077,                0.59951,                0.40056,                0.92605,             0.00010941,             0.00010941,             0.00010941
                     42,                0.49672,                0.30929,                0.92086,                 0.9708,                 0.8209,                0.90688,                0.78147,                0.58746,                0.37757,                0.91899,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.48917,                0.31367,                0.91232,                0.84658,                0.88076,                0.89674,                0.77501,                  0.583,                0.38642,                0.92218,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.48508,                0.30534,                0.90329,                0.85284,                0.88444,                0.92043,                0.79385,                0.58675,                0.37906,                0.92151,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.48238,                0.30381,                0.90681,                0.87589,                 0.8681,                0.90437,                0.78484,                0.57508,                0.37107,                0.91444,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.47743,                0.29014,                0.90335,                0.86729,                0.88046,                0.90718,                0.78766,                0.58004,                0.36068,                0.91445,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.47373,                0.29603,                0.90944,                0.93655,                0.83871,                0.90371,                0.78348,                0.57411,                0.36362,                0.91431,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.46617,                0.28846,                0.90041,                 0.8129,                0.89637,                0.92327,                 0.8019,                0.57397,                0.36178,                 0.9139,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.46247,                0.28066,                0.89972,                0.86256,                0.88066,                0.90504,                0.78757,                0.57295,                0.36253,                0.91279,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.45917,                0.27777,                0.89822,                0.88573,                0.87002,                0.90601,                0.78597,                0.57151,                0.36372,                0.91222,             1.5675e-05,             1.5675e-05,             1.5675e-05
