epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9746,1.01713,5.04812,0.01141,0.27655,0.32389,0.18123,0.15174,0.9009,5.60473,0.01129,0.000174529,0.000174529,0.000174529
2,65.9584,0.96582,3.72915,0.00969,0.37747,0.36318,0.28837,0.2362,0.93025,4.56197,0.01123,0.000342935,0.000342935,0.000342935
3,97.7279,0.97942,3.11743,0.00961,0.48317,0.40657,0.41614,0.35652,0.87548,3.64352,0.00975,0.000504398,0.000504398,0.000504398
4,129.366,0.95122,2.57411,0.00958,0.5203,0.44423,0.50238,0.42006,0.90943,2.71999,0.01105,0.000494756,0.000494756,0.000494756
5,161.011,0.91296,2.112,0.00888,0.68637,0.54805,0.60508,0.51118,0.87715,2.0777,0.01043,0.000484341,0.000484341,0.000484341
6,192.85,0.91987,1.82871,0.00874,0.69079,0.59486,0.65286,0.55165,0.87383,1.70642,0.01026,0.000473926,0.000473926,0.000473926
7,223.805,0.89426,1.62509,0.00833,0.77286,0.58016,0.67979,0.57605,0.8533,1.41144,0.00998,0.000463511,0.000463511,0.000463511
8,254.937,0.89061,1.46636,0.00865,0.74651,0.60085,0.69214,0.58456,0.86104,1.20562,0.00966,0.000453096,0.000453096,0.000453096
9,287.647,0.89195,1.35961,0.00831,0.79928,0.62319,0.70683,0.59821,0.84331,1.1276,0.00974,0.000442682,0.000442682,0.000442682
10,318.073,0.88005,1.27357,0.00832,0.76838,0.63833,0.71947,0.60852,0.82981,1.01481,0.01006,0.000432267,0.000432267,0.000432267
11,353.871,0.8729,1.21792,0.00821,0.81421,0.64051,0.73561,0.61827,0.82408,0.94583,0.00959,0.000421852,0.000421852,0.000421852
12,385.58,0.86671,1.15829,0.00831,0.82014,0.67404,0.76169,0.65165,0.78991,0.8684,0.00925,0.000411437,0.000411437,0.000411437
13,416.221,0.865,1.09966,0.00801,0.83729,0.66295,0.77797,0.65839,0.81093,0.80029,0.00956,0.000401022,0.000401022,0.000401022
14,446.693,0.84406,1.05778,0.00796,0.82002,0.70152,0.77457,0.64994,0.81066,0.82791,0.00947,0.000390608,0.000390608,0.000390608
15,477.072,0.8469,1.04492,0.0077,0.86844,0.67479,0.79134,0.6699,0.78314,0.76215,0.009,0.000380193,0.000380193,0.000380193
16,507.599,0.8502,1.01255,0.00775,0.85267,0.68542,0.78544,0.67193,0.79532,0.7279,0.00919,0.000369778,0.000369778,0.000369778
17,537.441,0.80819,0.96742,0.00767,0.85187,0.70154,0.79015,0.66583,0.78382,0.67902,0.00954,0.000359363,0.000359363,0.000359363
18,567.538,0.8308,0.9566,0.00774,0.84576,0.72502,0.81437,0.69204,0.78761,0.66664,0.00928,0.000348948,0.000348948,0.000348948
19,599.72,0.81887,0.92008,0.00773,0.84939,0.72608,0.81473,0.6899,0.79053,0.6424,0.0088,0.000338534,0.000338534,0.000338534
20,629.869,0.8338,0.9307,0.00757,0.86864,0.73704,0.83369,0.70159,0.78175,0.60495,0.0091,0.000328119,0.000328119,0.000328119
21,662.251,0.82035,0.87995,0.00741,0.87349,0.70844,0.81485,0.69327,0.76551,0.62446,0.00897,0.000317704,0.000317704,0.000317704
22,693.449,0.81386,0.89544,0.00756,0.87449,0.72802,0.83939,0.70897,0.76762,0.5999,0.00879,0.000307289,0.000307289,0.000307289
23,723.693,0.81328,0.86417,0.00735,0.86982,0.7503,0.84602,0.72164,0.75517,0.58736,0.00871,0.000296874,0.000296874,0.000296874
24,752.861,0.81924,0.85993,0.00724,0.85523,0.76354,0.84251,0.71768,0.74924,0.55488,0.00843,0.00028646,0.00028646,0.00028646
25,782.802,0.80437,0.83274,0.00706,0.86729,0.75219,0.84468,0.7197,0.74978,0.56588,0.00858,0.000276045,0.000276045,0.000276045
26,812.391,0.77946,0.80442,0.00708,0.90898,0.75597,0.86066,0.72765,0.76033,0.53345,0.00861,0.00026563,0.00026563,0.00026563
27,842.534,0.78852,0.80134,0.00703,0.89523,0.77752,0.87086,0.73321,0.74657,0.50194,0.00833,0.000255215,0.000255215,0.000255215
28,872.587,0.78384,0.78003,0.00686,0.89162,0.77526,0.85989,0.73046,0.74455,0.52434,0.00859,0.0002448,0.0002448,0.0002448
