epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6842,0.98032,7.17676,0.01083,0.24981,0.2923,0.15287,0.12871,0.85823,9.40403,0.01191,0.000174529,0.000174529,0.000174529
2,77.0615,0.93524,5.298,0.00951,0.43879,0.37306,0.32607,0.27609,0.82607,6.9484,0.01103,0.000342935,0.000342935,0.000342935
3,113.284,0.93191,4.06252,0.00934,0.60156,0.43416,0.46263,0.3899,0.87678,4.88912,0.01276,0.000504398,0.000504398,0.000504398
4,149.39,0.91877,3.0367,0.00944,0.62624,0.5245,0.56707,0.47143,0.85513,3.24648,0.01152,0.000494756,0.000494756,0.000494756
5,185.379,0.88319,2.29174,0.00884,0.6805,0.56542,0.63382,0.53175,0.84873,2.3678,0.01165,0.000484341,0.000484341,0.000484341
6,221.322,0.89219,1.90872,0.00867,0.7284,0.62668,0.68569,0.56363,0.86756,1.82262,0.01334,0.000473926,0.000473926,0.000473926
7,257.276,0.87484,1.65789,0.00841,0.77277,0.62224,0.72354,0.61338,0.77484,1.48773,0.00978,0.000463511,0.000463511,0.000463511
8,4398.68,0.86292,1.46199,0.00837,0.79411,0.6306,0.7539,0.64388,0.76785,1.24753,0.01006,0.000453096,0.000453096,0.000453096
9,4452.99,0.8631,1.3279,0.0082,0.80659,0.66645,0.76421,0.64578,0.79101,1.11599,0.01049,0.000442682,0.000442682,0.000442682
10,4514.07,0.85375,1.23545,0.00825,0.82066,0.67201,0.79052,0.66168,0.78353,0.93925,0.01031,0.000432267,0.000432267,0.000432267
11,4580.74,0.84265,1.16932,0.008,0.87519,0.6752,0.81115,0.67965,0.80104,0.86146,0.0114,0.000421852,0.000421852,0.000421852
12,4648.21,0.82941,1.10746,0.00788,0.85109,0.68747,0.8145,0.68067,0.7872,0.84031,0.011,0.000411437,0.000411437,0.000411437
13,4712.49,0.83307,1.05413,0.00778,0.85085,0.70421,0.80867,0.67591,0.78993,0.79943,0.01111,0.000401022,0.000401022,0.000401022
14,4776.25,0.80742,1.01513,0.00766,0.87607,0.73263,0.83957,0.69811,0.78145,0.75612,0.01084,0.000390608,0.000390608,0.000390608
15,4839.47,0.81611,0.9963,0.00743,0.77129,0.7851,0.82996,0.69766,0.7566,0.70178,0.01038,0.000380193,0.000380193,0.000380193
16,4902.29,0.81772,0.96363,0.0075,0.89891,0.70796,0.84855,0.71311,0.74834,0.68133,0.00996,0.000369778,0.000369778,0.000369778
17,4965.33,0.77639,0.91507,0.00735,0.7924,0.7777,0.84639,0.71524,0.72971,0.62107,0.00951,0.000359363,0.000359363,0.000359363
18,5029.87,0.79888,0.89681,0.00756,0.85735,0.79366,0.87254,0.74287,0.71746,0.57314,0.0091,0.000348948,0.000348948,0.000348948
19,5094.04,0.77709,0.86277,0.00723,0.82669,0.80576,0.87784,0.7475,0.72619,0.60653,0.00972,0.000338534,0.000338534,0.000338534
20,5158.42,0.80535,0.87244,0.00737,0.80002,0.79844,0.85741,0.72283,0.71739,0.61727,0.00947,0.000328119,0.000328119,0.000328119
