epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,60.372,0.97557,7.17318,0.01073,0.24503,0.31901,0.14886,0.12573,0.86358,9.43752,0.01175,0.000174529,0.000174529,0.000174529
2,116.249,0.92509,5.27774,0.00937,0.39943,0.36433,0.30674,0.25735,0.85604,7.06908,0.01141,0.000342935,0.000342935,0.000342935
3,171.245,0.92945,3.99688,0.00923,0.60836,0.5144,0.54081,0.46494,0.82892,4.69783,0.01125,0.000504398,0.000504398,0.000504398
4,225.022,0.92267,2.9854,0.00947,0.61068,0.56048,0.60625,0.50918,0.83948,3.15045,0.01155,0.000494756,0.000494756,0.000494756
5,280.151,0.88298,2.22551,0.00871,0.74068,0.6175,0.67724,0.56882,0.8346,2.26212,0.01133,0.000484341,0.000484341,0.000484341
6,333.588,0.8843,1.83735,0.00858,0.78952,0.62029,0.71733,0.6045,0.80738,1.70597,0.01134,0.000473926,0.000473926,0.000473926
7,387.077,0.86049,1.56211,0.0082,0.77894,0.65853,0.75101,0.6274,0.82912,1.40389,0.01139,0.000463511,0.000463511,0.000463511
8,440.94,0.85193,1.41505,0.00834,0.81915,0.67003,0.76389,0.64309,0.7829,1.20105,0.01069,0.000453096,0.000453096,0.000453096
9,493.817,0.84457,1.275,0.00798,0.84556,0.66238,0.77971,0.65903,0.79591,1.05726,0.01122,0.000442682,0.000442682,0.000442682
10,545.527,0.84503,1.18318,0.0082,0.84423,0.6831,0.79489,0.66786,0.80183,0.94153,0.01127,0.000432267,0.000432267,0.000432267
11,596.491,0.83346,1.11708,0.00791,0.87417,0.69009,0.83373,0.7057,0.74319,0.83535,0.00938,0.000421852,0.000421852,0.000421852
12,648.266,0.82039,1.05169,0.00786,0.89623,0.67926,0.82061,0.69048,0.78634,0.80356,0.01104,0.000411437,0.000411437,0.000411437
13,699.422,0.82421,1.02731,0.00778,0.86599,0.73599,0.83746,0.70839,0.7339,0.76262,0.00929,0.000401022,0.000401022,0.000401022
14,1609.95,0.79749,0.96941,0.00752,0.90018,0.74455,0.85757,0.72975,0.74345,0.72034,0.01009,0.000390608,0.000390608,0.000390608
15,1661.75,0.80726,0.95374,0.00738,0.8063,0.78341,0.86454,0.72987,0.76345,0.64615,0.01031,0.000380193,0.000380193,0.000380193
16,1711.78,0.80689,0.91822,0.00733,0.77297,0.80661,0.86298,0.7265,0.75681,0.65773,0.00991,0.000369778,0.000369778,0.000369778
17,1761.63,0.77039,0.88391,0.00733,0.81823,0.81536,0.8788,0.74106,0.7391,0.57596,0.00991,0.000359363,0.000359363,0.000359363
18,1811.37,0.79007,0.85552,0.00744,0.87045,0.7663,0.87709,0.74167,0.7225,0.59928,0.0092,0.000348948,0.000348948,0.000348948
19,1861.74,0.77097,0.82573,0.00718,0.90375,0.76146,0.87854,0.74604,0.73617,0.54912,0.00999,0.000338534,0.000338534,0.000338534
20,1912,0.78411,0.82377,0.00701,0.9041,0.8003,0.89583,0.74992,0.76335,0.54956,0.01106,0.000328119,0.000328119,0.000328119
21,1961.75,0.78255,0.79209,0.00705,0.8658,0.79831,0.9046,0.76729,0.70832,0.5264,0.00899,0.000317704,0.000317704,0.000317704
22,2020.35,0.75804,0.782,0.00706,0.87409,0.83465,0.91685,0.77463,0.70462,0.52821,0.00942,0.000307289,0.000307289,0.000307289
23,2081.86,0.75106,0.7661,0.0069,0.89089,0.81172,0.91905,0.7764,0.70445,0.53061,0.00921,0.000296874,0.000296874,0.000296874
24,2134.02,0.76326,0.75118,0.0068,0.89349,0.83677,0.93984,0.79669,0.70796,0.46133,0.00897,0.00028646,0.00028646,0.00028646
25,2188,0.76238,0.73735,0.00667,0.92011,0.81013,0.92607,0.78833,0.70145,0.48918,0.00896,0.000276045,0.000276045,0.000276045
26,2240.32,0.72731,0.69997,0.00669,0.89071,0.8341,0.9261,0.79229,0.6842,0.50116,0.00874,0.00026563,0.00026563,0.00026563
27,2292.19,0.73197,0.70205,0.00654,0.90677,0.84267,0.93098,0.79077,0.69903,0.45313,0.00916,0.000255215,0.000255215,0.000255215
28,2344.07,0.72056,0.686,0.00637,0.922,0.8256,0.92819,0.79527,0.67775,0.4553,0.0087,0.0002448,0.0002448,0.0002448
29,2396.47,0.74036,0.69314,0.00646,0.91592,0.82543,0.93894,0.79387,0.68395,0.45103,0.00898,0.000234386,0.000234386,0.000234386
30,2449.16,0.71881,0.67673,0.00629,0.86112,0.87,0.94876,0.80525,0.68943,0.4296,0.00873,0.000223971,0.000223971,0.000223971
31,2502.95,0.71206,0.6496,0.00651,0.89194,0.84739,0.94328,0.80535,0.67251,0.44232,0.00839,0.000213556,0.000213556,0.000213556
32,2553.63,0.72142,0.66695,0.0062,0.92422,0.82404,0.94817,0.80849,0.67618,0.42598,0.00851,0.000203141,0.000203141,0.000203141
33,2607.65,0.70399,0.6402,0.00615,0.89822,0.86457,0.95037,0.80755,0.68522,0.43046,0.00887,0.000192726,0.000192726,0.000192726
34,52.4234,0.70174,0.6295,0.00611,0.90725,0.83001,0.94194,0.80855,0.66867,0.41505,0.00857,0.000182312,0.000182312,0.000182312
35,103.538,0.68587,0.60708,0.00589,0.91842,0.85335,0.94827,0.81164,0.66637,0.43209,0.00846,0.000171897,0.000171897,0.000171897
36,154.006,0.69492,0.61934,0.0059,0.90286,0.84041,0.9516,0.81573,0.67379,0.42288,0.00853,0.000161482,0.000161482,0.000161482
37,60.7706,0.65204,0.53536,0.0056,0.87995,0.87086,0.95164,0.8176,0.66847,0.43158,0.00842,0.000151067,0.000151067,0.000151067
38,117.099,0.64426,0.51694,0.00545,0.90455,0.868,0.95082,0.81914,0.66182,0.40743,0.00818,0.000140652,0.000140652,0.000140652
39,172.878,0.65022,0.5292,0.00542,0.90335,0.85277,0.9563,0.82196,0.66379,0.40391,0.0083,0.000130238,0.000130238,0.000130238
40,228.809,0.6834,0.58858,0.006,0.897,0.8775,0.95445,0.81283,0.66647,0.40782,0.00833,0.000119823,0.000119823,0.000119823
41,301.696,0.66754,0.39889,0.00696,0.85786,0.93144,0.96472,0.82331,0.66664,0.38824,0.00817,0.000109408,0.000109408,0.000109408
42,357.42,0.66519,0.38136,0.00663,0.91782,0.88123,0.96033,0.82481,0.66453,0.38841,0.0081,9.89932e-05,9.89932e-05,9.89932e-05
43,412.625,0.64824,0.37798,0.00652,0.88322,0.90458,0.96149,0.8228,0.67219,0.37599,0.00823,8.85784e-05,8.85784e-05,8.85784e-05
44,467.553,0.64204,0.37213,0.00618,0.949,0.85013,0.9594,0.82225,0.65761,0.37921,0.00802,7.81636e-05,7.81636e-05,7.81636e-05
45,526.511,0.64289,0.36837,0.00623,0.85803,0.92271,0.96256,0.82368,0.65643,0.37314,0.00807,6.77488e-05,6.77488e-05,6.77488e-05
46,585.399,0.63617,0.36452,0.006,0.8814,0.92712,0.96539,0.82884,0.65553,0.37444,0.00803,5.7334e-05,5.7334e-05,5.7334e-05
47,644.947,0.63821,0.36423,0.00601,0.92377,0.8866,0.96477,0.82849,0.65689,0.36655,0.00796,4.69192e-05,4.69192e-05,4.69192e-05
48,704.508,0.62783,0.35718,0.00592,0.89272,0.91793,0.96415,0.82802,0.65415,0.35694,0.00794,3.65044e-05,3.65044e-05,3.65044e-05
49,764.212,0.6213,0.34379,0.00587,0.89998,0.92149,0.96365,0.82881,0.65209,0.35902,0.0079,2.60896e-05,2.60896e-05,2.60896e-05
50,822.72,0.62303,0.34331,0.00577,0.88672,0.93032,0.96676,0.82969,0.65232,0.35661,0.00791,1.56748e-05,1.56748e-05,1.56748e-05
